product_name,categoria,packaging_tags,categories_tags,labels_tags,allergens_tags,additives_n,additives_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,main_category,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-d_100g,vitamin-e_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-b12_100g,pantothenic-acid_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,iodine_100g
grana stagionato,Latticini,"barquette,plastique,carton","en:meals,en:meat-based-products,en:pasta-dishes,en:salads,en:meals-with-meat,en:prepared-salads,en:pasta-salads,en:poultry-meals,en:meals-with-chicken,en:vegetable-salads",en:made-in-france,"en:eggs,en:gluten,en:milk,en:mustard",5.0,"en:e1105,en:e262,en:e262i,en:e326,en:e407a,en:e451",-6.0,a,4.0,Composite foods,One-dish meals,en:vegetable-salads,590.0,6.2,1.6,0.0,0.0,0.0,14.0,1.8,0.0,7.0,0.41,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grancotoletta di pollo,Carne,plastica,"en:meats,en:poultries,en:breaded-products,en:chickens,en:chicken-breasts",0,"en:gluten,en:milk,en:peanuts",0.0,0,3.0,c,4.0,Fish Meat Eggs,Meat,en:chicken-breasts,994.0,12.0,1.7,0.0,0.0,0.0,19.0,1.2,0.7,13.0,1.2,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grigliatissima di verdure,Verdura,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:frozen-foods,en:vegetables-based-foods,en:frozen-plant-based-foods,en:frozen-vegetables",0,0,0.0,0,-9.0,a,3.0,fruits-and-vegetables,vegetables,en:frozen-vegetables,280.0,0.2,0.0,0.0,0.0,0.0,13.0,3.0,3.0,1.9,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grissini al sesamo,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:breadsticks",0,0,0.0,0,15.0,d,0.0,Cereals and potatoes,Bread,en:breadsticks,1720.0,7.1,1.2,0.0,0.0,0.0,71.0,2.6,0.0,14.0,2.1,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grissini senza glutine,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:breadsticks",0,0,3.0,"en:e306,en:e471,en:e472e",13.0,d,4.0,Cereals and potatoes,Bread,en:breadsticks,1870.0,14.0,2.400000095,0.0,0.0,0.0,76.0,2.599999905,2.7,2.599999905,1.9,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guanciale amatriciana,Carne,0,"en:meats,it:guanciale",0,0,3.0,"en:e250,en:e252,en:e300",26.0,e,4.0,Fish Meat Eggs,Meat,it:guanciale,2238.0,54.6,23.7,0.0,0.0,0.0,0.0,0.0,0.0,10.9,3.89,1.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guanciale di suino,Carne,0,"en:meats,en:guanciale",0,0,3.0,"en:e250,en:e252,en:e301",27.0,e,3.0,Fish Meat Eggs,Meat,en:guanciale,2523.0,63.0,21.0,0.0,0.0,0.0,0.6,0.0,0.0,8.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hambuger pollo e maiale,Carne,0,"en:meats,en:prepared-meats,en:hams,en:white-hams",en:gluten-free,0,0.0,0,13.0,d,4.0,Fish Meat Eggs,Processed meat,en:white-hams,833.0,14.0,6.4,0.0,0.0,0.0,2.5,1.2,0.0,16.0,1.3,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamburger black angus,Carne,0,"en:meats,en:frozen-foods,en:frozen-meats,en:frozen-meat-preparations",0,"en:gluten,en:milk",1.0,en:e300,5.0,c,4.0,Fish Meat Eggs,Meat,en:frozen-meat-preparations,1000.0,16.8,6.4,0.0,0.0,0.0,5.8,1.7,0.1,16.0,0.54,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamburger con bacon - surgelati,Carne,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:sandwiches,en:breads,en:hamburgers,en:buns",es:100-carne,0,5.0,"en:e250,en:e300,en:e301,en:e326,en:e451",13.0,d,4.0,Cereals and potatoes,Bread,en:buns,967.0,16.0,8.100000381,0.0,0.0,0.0,2.700000048,0.5,0.5,18.0,0.75,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.00462,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hamburger di equino,Carne,"cartone,plastica","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:sandwiches,en:breads,en:hamburgers,en:buns,it:equino",it:sapore-salute,0,1.0,en:e300,-1.0,a,0.0,Cereals and potatoes,Bread,it:equino,565.0,5.599999905,2.299999952,0.0,0.0,0.0,2.900000095,1.200000048,0.0,18.20000076,0.23,0.092,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00066,0.0,1.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamburger di pollo,Pasta e Cereali,0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:meats,en:frozen-foods,en:sandwiches,en:steaks,en:frozen-meats,en:ground-steaks,en:breads,en:frozen-steaks,en:frozen-ground-steaks,en:hamburgers,en:buns,it:hamburger-di-pollo",it:100-pollo-italiano,0,1.0,en:e300,3.0,c,0.0,Cereals and potatoes,Bread,it:hamburger-di-pollo,492.0,3.0,0.8,0.0,0.0,0.0,3.4,0.0,0.0,19.0,1.6,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamburger di scottona,Carne,plastica,en:meats,0,0,2.0,"en:e300,en:e471",15.0,d,4.0,Fish Meat Eggs,Meat,en:meats,954.0,17.0,8.0,0.0,0.0,0.0,1.6,0.5,0.0,18.0,1.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
